,Address,Brand,Price,Self,Store,Si
2622,경기 화성시 장안면 포승향남로 2142,GS칼텍스,1528,Y,(주)장안셀프주유소,화성시
2623,경기 화성시 팔탄면 온천로 127,GS칼텍스,1528,N,덕우주유소,화성시
2624,경기 화성시 남양읍 화성로 1229,S-OIL,1528,Y,㈜에스엠화성주유소,화성시
2625,경기 화성시 우정읍 포승향남로 1552,SK에너지,1529,N,화성주유소/충전소,화성시
2626,경기 화성시 남양읍 화성로 1412,GS칼텍스,1529,N,(주)삼진에너지남양주유소충전소,화성시
2627,경기 화성시 정남면 세자로 214,SK에너지,1529,Y,삼미상사(주) 정남TG셀프주유소,화성시
2629,경기 화성시 우정읍 버들로 94,S-OIL,1529,N,조형주유소,화성시
2630,경기 화성시 팔탄면 포승향남로 2295,GS칼텍스,1529,N,덕우리주유소,화성시
2631,경기 화성시 남양읍 주석로 304,GS칼텍스,1529,N,대선에너지(주) 친절한주유소,화성시
2632,경기 화성시 향남읍 발안로 450,GS칼텍스,1530,Y,지에스칼텍스(주)캐피탈주유소,화성시
2633,경기 화성시 남양읍 온석길 15-2,S-OIL,1530,N,CJ대한통운㈜ 힘찬주유소,화성시
2634,경기 화성시 향남읍 발안로 341,SK에너지,1530,N,창영주유소,화성시
2635,경기 화성시 경기대로 1106 (진안동),SK에너지,1533,Y,(주)뉴타운에너지 주유소,화성시
2636,경기 화성시 우정읍 기아자동차로 251,GS칼텍스,1534,N,매향주유소,화성시
2637,경기 화성시 팔탄면 서해안고속도로 301-1,알뜰(ex),1535,Y,대보유통㈜화성(하)목포방향,화성시
2638,경기 화성시 남양읍 시청로 270,SK에너지,1535,N,거령주유소,화성시
2639,경기 화성시 팔탄면 서해안고속도로 302-1,알뜰(ex),1535,Y,대보유통㈜ 화성(상)주유소/충전소,화성시
2640,경기 화성시 우정읍 한말길 5,SK에너지,1535,Y,(주)송림에너지주유소,화성시
2641,경기 화성시 경기동로 211 (장지동),현대오일뱅크,1536,N,동탄예일주유소,화성시
2642,경기 화성시 남양읍 시청로 275,현대오일뱅크,1536,N,행정타운오일뱅크,화성시
2643,경기 화성시 우정읍 포승향남로 976,GS칼텍스,1537,Y,(주)소모에너지엔테크놀러지 우정주유소,화성시
2644,경기 화성시 비봉면 푸른들판로 1672,GS칼텍스,1537,N,비봉주유소,화성시
2645,경기 화성시 정남면 세자로 68,GS칼텍스,1537,N,정남IC주유소,화성시
2646,경기 화성시 비봉면 푸른들판로 1275,현대오일뱅크,1537,N,(주)삼표 화성에너지,화성시
2647,경기 화성시 남양읍 주석로 79(남양읍),S-OIL,1538,Y,주석self주유소,화성시
2648,경기도 화성시 만년로 921,SK에너지,1538,N,안녕주유소,화성시
2649,경기 화성시 우정읍 포승향남로 1420,현대오일뱅크,1539,N,풍년주유소,화성시
2650,경기 화성시 남양읍 남양로 581,현대오일뱅크,1539,N,신남직영주유소,화성시
2651,경기 화성시 남양읍 남양로 410,SK에너지,1539,Y,SK대훈주유소,화성시
2652,경기 화성시 장안면 기아자동차로 747,SK에너지,1539,N,사곡주유소,화성시
2653,경기 화성시 우정읍 기아자동차로 571,SK에너지,1539,N,SK기양주유소,화성시
2655,경기 화성시 향남읍 서해로 806,GS칼텍스,1539,N,39라인주유소,화성시
2656,경기 화성시 향남읍 서해로 553,SK에너지,1539,Y,흥아주유소,화성시
2657,경기 화성시 정남면 세자로 31,현대오일뱅크,1540,N,서원주유소,화성시
2658,경기 화성시 향남읍 발안로 206,GS칼텍스,1547,Y,에스제이오일(주)빅토리주유소,화성시
2659,경기 화성시 남양읍 주석로 54,현대오일뱅크,1548,N,(주)남양타운주유소,화성시
2660,경기 화성시 동탄지성로 388,S-OIL,1548,N,저녁노을주유소,화성시
2661,경기 화성시 봉담읍 삼천병마로 1129-18,S-OIL,1549,Y,구도일주유소 상리,화성시
2662,경기 화성시 비봉면 푸른들판로 1116,현대오일뱅크,1549,N,자안주유소,화성시
2663,경기 화성시 매송면 화성로 2415,현대오일뱅크,1549,N,새원평주유소,화성시
